published_utc,source_id,canonical_text,dataset_partition,source_record_url,hypothesis_tag
2021-05-05T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/1,[HYPO]
2021-05-06T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/2,[HYPO]
2021-05-09T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/3,[HYPO]
2021-05-10T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/4,[HYPO]
2021-05-11T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/5,[HYPO]
2021-05-12T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/6,[HYPO]
2021-05-13T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/7,[HYPO]
2021-05-16T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/8,[HYPO]
2021-05-17T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/9,[HYPO]
2021-05-19T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/10,[HYPO]
2021-05-20T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/11,[HYPO]
2021-05-23T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/12,[HYPO]
2021-05-24T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/13,[HYPO]
2021-05-25T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/14,[HYPO]
2021-05-26T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/15,[HYPO]
2021-05-27T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/16,[HYPO]
2021-05-30T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/17,[HYPO]
2021-05-31T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/18,[HYPO]
2021-06-02T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/19,[HYPO]
2021-06-03T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/20,[HYPO]
2021-06-06T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/21,[HYPO]
2021-06-07T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/22,[HYPO]
2021-06-08T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/23,[HYPO]
2021-06-09T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/24,[HYPO]
2021-06-10T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/25,[HYPO]
2021-06-13T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/26,[HYPO]
2021-06-14T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/27,[HYPO]
2021-06-15T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/28,[HYPO]
2021-06-16T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/29,[HYPO]
2021-06-17T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/30,[HYPO]
2021-06-20T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/31,[HYPO]
2021-06-21T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/32,[HYPO]
2021-06-22T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/33,[HYPO]
2021-06-23T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/34,[HYPO]
2021-06-24T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/35,[HYPO]
2021-06-28T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/36,[HYPO]
2021-06-29T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/37,[HYPO]
2021-06-30T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/38,[HYPO]
2021-07-04T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/39,[HYPO]
2021-07-05T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/40,[HYPO]
2021-07-06T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/41,[HYPO]
2021-07-07T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/42,[HYPO]
2021-07-08T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/43,[HYPO]
2021-07-11T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/44,[HYPO]
2021-07-12T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/45,[HYPO]
2021-07-13T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/46,[HYPO]
2021-07-14T06:00:00Z,label_guided_seed,Export orders accelerate while slower tightening supports risk appetite,train_holdout,https://example.invalid/news/47,[HYPO]
2021-07-15T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/48,[HYPO]
2021-07-18T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/49,[HYPO]
2021-07-19T06:00:00Z,label_guided_seed,Credit spreads widen and geopolitical volatility rises with risk-off tone,train_holdout,https://example.invalid/news/50,[HYPO]
